years,time,loop,nthreads
4000000,19.652962,2.594808,12 
4000000,21.190291,2.584753,1 
4000000,19.982485,19.982447,1 
400,0.002875,0.002860,1 
400,0.002583,0.002573,1 
400,0.002840,0.002831,1 
400,0.002877,0.000639,1 
4000,0.021941,0.021926,1 
4000,0.022899,0.022879,1 
4000,0.022904,0.002997,1 
4000,0.022352,0.022336,1 
4000,0.022131,0.022114,4 
4000,0.023215,0.003108,4 
4000,0.023211,0.023188,4 
4000,0.022593,0.022575,4 
4000,0.022715,0.022702,4 
4000,0.023328,0.023303,4 
4000,0.023328,0.003098,4 
4000,0.022253,0.022232,4 
40000,0.206281,0.206261,4 
40000,0.211139,0.211107,4 
40000,0.203860,0.203798,4 
40000,0.211146,0.019250,4 
